PRODUCT_NAME,Answer
"Nutraj 100% Natural Dried Premium California Walnut Kernels, 500g (2 X 250g) | Pure Without Shell Walnut Kernels | Akhrot ...",080232
"Cadbury Bournvita 5 Star Magic Health Drink, 750g Pouch",190590
Sugar Free Green Natural Stevia Jar(200 g),210130
"Daawat Pulav, Long Grains, Fluffy Basmati for finest Pulav, 1 Kg",100630
Tata Tea Gold | Assam teas with Gently Rolled Aromatic Long Leaves | Rich & Aromatic Chai | Black Tea | 500g,090230
"Nescafe Classic Coffee Jar, 200 g with Free Red Mug and Scoop Spoon",090111
"Organic Tattva, Organic Wheat Dalia / Daliya, 500g",190300
"Mccain Chilli Garlic Potato Bites, 420 g Regular Pack",190110
"Saffola Honey Gold, 100% Pure NMR Tested Honey, Made with Kashmir Honey, 1Kg",040900
Figaro Olive Oil - 100ml Bottle,150920
"Fresh Organic Ginger, 100g",070320
"Dabur Amla Juice: Rich Source of Vitamin C and Antioxidants for Immunity boosting |Pure, Natural and 100% Ayurvedic Juice -1L",200989
"Catch Red Chilli Powder, 100g",210390
"Pedigree Dentastix Oral Care Dog Treat for Adult Large Breed (25 Kg+), Monthly Pack (28 Sticks) 1.08 Kg",230910
"Fresh Baby Orange Nagpur, 1kg",080510
"Britannia Milk Bikis Biscuits, 170.5g or 190.5g",190531
"Veeba Garlic Mayonnaise, 250g",210690
"Mother Dairy Pure Healthy Ghee, 1L",040590
"Cadbury Dairy Milk Crispello Chocolate Bar, 35 g",180632